home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,gameweek,home_team,away_team
Chelsea,Fulham,corners_total,9.5,0.46485166666666666,0.5351483333333333,2.0764508712384346,1.7439558094149725,9.419405465334254,5.482436225554735,3.9369692397795193,9.25,0.029999999999999995,0.72,0.021599999999999994,0.03514833333333334,3,Chelsea,Fulham
Tottenham,Bournemouth,corners_total,10.5,0.458685,0.541315,2.104367154466875,1.7247393501735238,10.360000000000001,5.055810831958376,5.304189168041625,9.25,0.029999999999999995,0.72,0.021599999999999994,0.04131499999999999,3,Tottenham,Bournemouth
Manchester united,Burnley,corners_total,9.5,0.53942,0.46058,1.789406488907787,2.015497215328784,10.051002085246557,6.414897441644686,3.636104643601871,9.25,0.029999999999999995,0.72,0.021599999999999994,0.03942000000000001,3,Manchester united,Burnley
Sunderland,Brentford,corners_total,10.5,0.449005,0.550995,2.149734742924107,1.6954143096405527,10.279146875364397,5.03468743994998,5.244459435414416,9.25,0.029999999999999995,0.72,0.021599999999999994,0.05099500000000001,3,Sunderland,Brentford
Wolverhampton wanderers,Everton,corners_total,8.5,0.557945,0.442055,1.7299942615251298,2.096596927241947,9.162724069144451,5.039312471201416,4.123411597943035,9.25,0.029999999999999995,0.72,0.021599999999999994,0.057945000000000024,3,Wolverhampton wanderers,Everton
Leeds United,Newcastle,corners_total,9.5,0.5212583333333334,0.4787416666666666,1.8517529342392067,1.9418563390798755,9.87277736829409,4.065213551179651,5.807563817114438,9.25,0.029999999999999995,0.72,0.021599999999999994,0.02125833333333338,3,Leeds United,Newcastle
Nottingham Forest,West ham united,corners_total,9.5,0.44404,0.55596,2.1737718409301836,1.6807566750953857,9.251176620828149,4.5989983463682105,4.6521782744599385,9.25,0.029999999999999995,0.72,0.021599999999999994,0.05596000000000001,3,Nottingham Forest,West ham united
Brighton & hove albion,Manchester city,corners_total,8.5,0.5084033333333333,0.4915966666666667,1.8985745862798669,1.8929030917569167,8.767371032240398,3.555342609087316,5.212028423153082,9.25,0.029999999999999995,0.72,0.021599999999999994,0.008403333333333318,3,Brighton & hove albion,Manchester city
Liverpool,Arsenal,corners_total,8.5,0.53187,0.46813000000000005,1.8148074684540183,1.9842161112565035,8.944084486654656,4.463533479938197,4.48055100671646,9.25,0.029999999999999995,0.72,0.021599999999999994,0.031869999999999954,3,Liverpool,Arsenal
Aston villa,Crystal palace,corners_total,9.5,0.52969,0.47031,1.8222765169186477,1.97536380349739,9.956701818628346,6.236643267782304,3.7200585508460424,9.25,0.029999999999999995,0.72,0.021599999999999994,0.029689999999999994,3,Aston villa,Crystal palace
