home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,gameweek,home_team,away_team
Manchester united,Manchester city,corners_total,9.5,0.44908,0.5509200000000001,2.1493757197974497,1.6956376844088812,9.288697625992004,3.96171406831742,5.326983557674585,9.733333333333333,0.029999999999999995,0.72,0.021599999999999994,0.05092000000000002,22,Manchester united,Manchester city
Leeds United,Fulham,corners_total,8.5,0.5379333333333334,0.4620666666666666,1.7943518061345367,2.009259926197124,8.994286792864028,4.469335397505327,4.5249513953587,9.733333333333333,0.029999999999999995,0.72,0.021599999999999994,0.037933333333333374,22,Leeds United,Fulham
Chelsea,Brentford,corners_total,10.5,0.45472,0.54528,2.1227165030054507,1.712605796360079,10.329957427663889,6.569594456290419,3.7603629713734694,9.733333333333333,0.029999999999999995,0.72,0.021599999999999994,0.04527999999999999,22,Chelsea,Brentford
Liverpool,Burnley,corners_total,9.5,0.5581483333333334,0.44185166666666664,1.7293640249395565,2.097523318120495,10.211475433317187,7.105847970314923,3.105627463002263,9.733333333333333,0.029999999999999995,0.72,0.021599999999999994,0.05814833333333336,22,Liverpool,Burnley
Sunderland,Crystal palace,corners_total,8.5,0.533945,0.466055,1.807754821651366,1.992716062638571,8.956657242254089,4.426702108745314,4.529955133508775,9.733333333333333,0.029999999999999995,0.72,0.021599999999999994,0.033945,22,Sunderland,Crystal palace
Tottenham,West ham united,corners_total,10.5,0.504505,0.495495,1.9132449594090024,1.8785418440620105,10.755326711448948,6.281892131795893,4.473434579653055,9.733333333333333,0.029999999999999995,0.72,0.021599999999999994,0.004504999999999981,22,Tottenham,West ham united
Nottingham Forest,Arsenal,corners_total,9.5,0.450035,0.549965,2.14481462163307,1.6984871449227201,9.302264935486816,3.4451058544904876,5.857159080996329,9.733333333333333,0.029999999999999995,0.72,0.021599999999999994,0.04996499999999998,22,Nottingham Forest,Arsenal
Wolverhampton wanderers,Newcastle,corners_total,10.5,0.48427166666666666,0.5157283333333333,1.9931821634137281,1.807371402019124,10.57249106893844,4.3532350230558965,6.219256045882543,9.733333333333333,0.029999999999999995,0.72,0.021599999999999994,0.015728333333333344,22,Wolverhampton wanderers,Newcastle
Aston villa,Everton,corners_total,9.5,0.5244833333333333,0.4755166666666667,1.840366674975319,1.9545373753023358,9.912873982396023,6.165766051551683,3.7471079308443405,9.733333333333333,0.029999999999999995,0.72,0.021599999999999994,0.0244833333333333,22,Aston villa,Everton
Brighton & hove albion,Bournemouth,corners_total,9.5,0.5134483333333333,0.4865516666666667,1.8799197223608453,1.9118178155111942,9.8186182909173,4.804480748040563,5.014137542876736,9.733333333333333,0.029999999999999995,0.72,0.021599999999999994,0.013448333333333284,22,Brighton & hove albion,Bournemouth
