home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,gameweek,home_team,away_team
Chelsea,Everton,corners_total,9.5,0.5059983333333333,0.4940016666666667,1.907598473473177,1.8840173781171379,9.766287326454911,6.518954324785542,3.2473330016693684,9.926666666666666,0.029999999999999995,0.72,0.021599999999999994,0.005998333333333328,16,Chelsea,Everton
Liverpool,Brighton & hove albion,corners_total,9.5,0.5195533333333333,0.4804466666666667,1.857829767069095,1.9352183672480403,9.875637818528304,5.814278991497592,4.061358827030712,9.926666666666666,0.029999999999999995,0.72,0.021599999999999994,0.01955333333333331,16,Liverpool,Brighton & hove albion
Burnley,Fulham,corners_total,9.5,0.4894983333333333,0.5105016666666666,1.9718997645480003,1.8252344188316192,9.622386889684739,3.679367759708392,5.9430191299763475,9.926666666666666,0.029999999999999995,0.72,0.021599999999999994,0.010501666666666687,16,Burnley,Fulham
Arsenal,Wolverhampton wanderers,corners_total,9.5,0.49046,0.50954,1.9680333732549824,1.8285596074246655,9.641539072264004,6.749077350584803,2.8924617216792017,9.926666666666666,0.029999999999999995,0.72,0.021599999999999994,0.009539999999999993,16,Arsenal,Wolverhampton wanderers
Crystal palace,Manchester city,corners_total,9.5,0.4671,0.5328999999999999,2.0664561084278286,1.7510689825238046,9.441628786489726,3.5896372640132617,5.851991522476464,9.926666666666666,0.029999999999999995,0.72,0.021599999999999994,0.032899999999999985,16,Crystal palace,Manchester city
Nottingham Forest,Tottenham,corners_total,10.5,0.5457683333333333,0.4542316666666667,1.7685922566289822,2.0425731521052466,11.117866666666666,5.160220038184178,5.957646628482488,9.926666666666666,0.029999999999999995,0.72,0.021599999999999994,0.0457683333333333,16,Nottingham Forest,Tottenham
Sunderland,Newcastle,corners_total,10.5,0.4725216666666667,0.5274783333333333,2.0427457963055775,1.7684628418999797,10.470698219925122,4.613436306957934,5.857261912967188,9.926666666666666,0.029999999999999995,0.72,0.021599999999999994,0.027478333333333327,16,Sunderland,Newcastle
West ham united,Aston villa,corners_total,10.5,0.44168666666666667,0.5583133333333333,2.1853538290642804,1.6738973551324494,10.205846997617169,4.46131912531122,5.744527872305949,9.926666666666666,0.029999999999999995,0.72,0.021599999999999994,0.05831333333333333,16,West ham united,Aston villa
Brentford,Leeds United,corners_total,9.5,0.44498333333333334,0.5550166666666667,2.1691635976927346,1.6835220421202284,9.262125845026231,5.149617701523439,4.112508143502793,9.926666666666666,0.029999999999999995,0.72,0.021599999999999994,0.05501666666666666,16,Brentford,Leeds United
Manchester united,Bournemouth,corners_total,9.5,0.5091433333333333,0.4908566666666667,1.8958151566617887,1.8956540444972008,9.781790324557157,4.855887266051179,4.925903058505978,9.926666666666666,0.029999999999999995,0.72,0.021599999999999994,0.009143333333333281,16,Manchester united,Bournemouth
