home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,gameweek,home_team,away_team
Nottingham Forest,Chelsea,corners_total,10.5,0.4532116666666667,0.5467883333333333,2.1297811138577014,1.7080347524982336,10.309896554451102,3.6592067581299133,6.650689796321188,9.642857142857142,0.029999999999999995,0.72,0.021599999999999994,0.04678833333333332,8,Nottingham Forest,Chelsea
Manchester city,Everton,corners_total,9.5,0.45742166666666667,0.5425783333333334,2.110179116089032,1.7208547208673637,9.366559536493593,6.422754144236508,2.9438053922570853,9.642857142857142,0.029999999999999995,0.72,0.021599999999999994,0.04257833333333333,8,Manchester city,Everton
Burnley,Leeds United,corners_total,8.5,0.5125516666666666,0.4874483333333334,1.8832084861297989,1.9084284581543864,8.79360381869006,4.058795923490439,4.734807895199622,9.642857142857142,0.029999999999999995,0.72,0.021599999999999994,0.012551666666666628,8,Burnley,Leeds United
Crystal palace,Bournemouth,corners_total,9.5,0.5343533333333333,0.46564666666666665,1.8063734013323989,1.9943973265320831,9.992758733307857,4.081521176790796,5.911237556517062,9.642857142857142,0.029999999999999995,0.72,0.021599999999999994,0.03435333333333335,8,Crystal palace,Bournemouth
Brighton & hove albion,Newcastle,corners_total,9.5,0.5319633333333333,0.46803666666666666,1.8144890592333531,1.9845968806218293,9.973563298546248,5.027210699281035,4.946352599265213,9.642857142857142,0.029999999999999995,0.72,0.021599999999999994,0.031963333333333344,8,Brighton & hove albion,Newcastle
Sunderland,Wolverhampton wanderers,corners_total,9.5,0.44496166666666664,0.5550383333333333,2.169269221498418,1.6834584245245592,9.263168481775349,4.4938330740276555,4.769335407747693,9.642857142857142,0.029999999999999995,0.72,0.021599999999999994,0.055038333333333356,8,Sunderland,Wolverhampton wanderers
Fulham,Arsenal,corners_total,9.5,0.43923833333333334,0.5607616666666666,2.197535085158714,1.6668203078194643,9.211327522094637,3.6934046894840526,5.517922832610584,9.642857142857142,0.029999999999999995,0.72,0.021599999999999994,0.06076166666666666,8,Fulham,Arsenal
Tottenham,Aston villa,corners_total,10.5,0.5101,0.4899,1.8922596515323242,1.89922232904145,10.8,5.486353428257257,5.313646571742744,9.642857142857142,0.029999999999999995,0.72,0.021599999999999994,0.010099999999999998,8,Tottenham,Aston villa
Liverpool,Manchester united,corners_total,9.5,0.5017616666666667,0.49823833333333334,1.923705440989524,1.8685654929466118,9.72270752376164,5.8843218254071985,3.838385698354441,9.642857142857142,0.029999999999999995,0.72,0.021599999999999994,0.0017616666666666614,8,Liverpool,Manchester united
West ham united,Brentford,corners_total,9.5,0.5312683333333333,0.46873166666666666,1.8168627559456243,1.9817650112725163,9.96561647048092,4.907561159721697,5.058055310759224,9.642857142857142,0.029999999999999995,0.72,0.021599999999999994,0.03126833333333334,8,West ham united,Brentford
