home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,gameweek,home_team,away_team
Tottenham,Newcastle,corners_total,10.5,0.53675,0.46325000000000005,1.756680189239427,1.9579264321673844,11.020800000000001,5.489931940842371,5.530868059157631,9.84,0.029999999999999995,0.68,0.020399999999999998,0.03674999999999995,26,Tottenham,Newcastle
Chelsea,Leeds United,corners_total,9.5,0.47802333333333336,0.5219766666666666,1.9724938634256262,1.7451167205054021,9.528841523896983,6.011516163143133,3.5173253607538495,9.84,0.029999999999999995,0.68,0.020399999999999998,0.021976666666666644,26,Chelsea,Leeds United
Everton,Bournemouth,corners_total,10.5,0.460975,0.539025,2.045443010085715,1.6917372140539906,10.37650266916426,4.457303214364783,5.919199454799476,9.84,0.029999999999999995,0.68,0.020399999999999998,0.039024999999999976,26,Everton,Bournemouth
West ham united,Manchester united,corners_total,9.5,0.510755,0.48924500000000004,1.8460868548996343,1.8576529676924207,9.787665117708082,4.553454686451709,5.234210431256373,9.84,0.029999999999999995,0.68,0.020399999999999998,0.010754999999999959,26,West ham united,Manchester united
Nottingham Forest,Wolverhampton wanderers,corners_total,9.5,0.5086966666666667,0.4913033333333333,1.8535566544062199,1.8501501823887667,9.781751232592589,5.624419201556047,4.157332031036542,9.84,0.029999999999999995,0.68,0.020399999999999998,0.008696666666666686,26,Nottingham Forest,Wolverhampton wanderers
Crystal palace,Burnley,corners_total,8.5,0.5350433333333333,0.4649566666666667,1.7622835999095323,1.9510122579712128,8.976657458292761,5.245052402164029,3.731605056128733,9.84,0.029999999999999995,0.68,0.020399999999999998,0.035043333333333315,26,Crystal palace,Burnley
Aston villa,Brighton & hove albion,corners_total,9.5,0.4967283333333333,0.5032716666666667,1.8982168487287068,1.8076978320446928,9.677656174174416,5.3343362447013485,4.3433199294730676,9.84,0.029999999999999995,0.68,0.020399999999999998,0.0032716666666666727,26,Aston villa,Brighton & hove albion
Manchester city,Fulham,corners_total,9.5,0.48418833333333333,0.5158116666666667,1.9473787918081378,1.765258653786368,9.57901680521406,6.017130159234919,3.5618866459791407,9.84,0.029999999999999995,0.68,0.020399999999999998,0.01581166666666667,26,Manchester city,Fulham
Sunderland,Liverpool,corners_total,9.5,0.466295,0.533705,2.0221063738068445,1.708040606003597,9.433236484393573,3.426196811848244,6.0070396725453294,9.84,0.029999999999999995,0.68,0.020399999999999998,0.033704999999999985,26,Sunderland,Liverpool
Brentford,Arsenal,corners_total,9.5,0.4974483333333333,0.5025516666666667,1.8954693952958517,1.810196561938707,9.687574482044955,3.4436870453646247,6.243887436680329,9.84,0.029999999999999995,0.68,0.020399999999999998,0.0025516666666666743,26,Brentford,Arsenal
