home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,gameweek,home_team,away_team
Liverpool,Everton,corners_total,10.5,0.46313333333333334,0.5368666666666666,2.0841549911759865,1.7385582666902324,10.40582984716164,7.1839356000444905,3.221894247117149,9.5,0.029999999999999995,0.72,0.021599999999999994,0.03686666666666666,5,Liverpool,Everton
Brighton & hove albion,Tottenham,corners_total,9.5,0.547275,0.45272500000000004,1.7637232620650287,2.0491063112515877,10.100173434638522,5.270180505679998,4.829992928958524,9.5,0.029999999999999995,0.72,0.021599999999999994,0.047274999999999956,5,Brighton & hove albion,Tottenham
West ham united,Crystal palace,corners_total,9.5,0.44398666666666664,0.5560133333333334,2.1740329625063186,1.6806006005658516,9.25501892256169,4.7345444728743935,4.520474449687297,9.5,0.029999999999999995,0.72,0.021599999999999994,0.05601333333333336,5,West ham united,Crystal palace
Wolverhampton wanderers,Leeds United,corners_total,8.5,0.49773,0.50227,1.9392876624809405,1.8540948166182374,8.677524174534224,4.6176351828186,4.059888991715623,9.5,0.029999999999999995,0.72,0.021599999999999994,0.0022699999999999942,5,Wolverhampton wanderers,Leeds United
Burnley,Nottingham Forest,corners_total,9.5,0.5127416666666667,0.48725833333333335,1.8825106500933972,1.9091456452945221,9.813549355396866,4.696057716707765,5.117491638689101,9.5,0.029999999999999995,0.72,0.021599999999999994,0.012741666666666651,5,Burnley,Nottingham Forest
Manchester united,Chelsea,corners_total,9.5,0.49638166666666667,0.5036183333333333,1.9445553957068755,1.8493051890298382,9.673311020583125,4.373494411374724,5.299816609208401,9.5,0.029999999999999995,0.72,0.021599999999999994,0.0036183333333333345,5,Manchester united,Chelsea
Fulham,Brentford,corners_total,9.5,0.5452183333333334,0.45478166666666664,1.7703763597701934,2.0401986273198913,10.082013855501318,6.188413610536664,3.893600244964654,9.5,0.029999999999999995,0.72,0.021599999999999994,0.04521833333333336,5,Fulham,Brentford
Bournemouth,Newcastle,corners_total,10.5,0.49055166666666666,0.5094483333333333,1.9676656177840022,1.8288771990589414,10.64,5.802038254831832,4.837961745168169,9.5,0.029999999999999995,0.72,0.021599999999999994,0.009448333333333336,5,Bournemouth,Newcastle
Sunderland,Aston villa,corners_total,9.5,0.5521966666666667,0.44780333333333333,1.7480033953723708,2.0707417936968118,10.14307990783555,3.8332189732271176,6.309860934608431,9.5,0.029999999999999995,0.72,0.021599999999999994,0.05219666666666667,5,Sunderland,Aston villa
Arsenal,Manchester city,corners_total,8.5,0.46753666666666666,0.5324633333333333,2.0645260940246506,1.7524572228931927,8.449726476234785,4.599883334968707,3.849843141266078,9.5,0.029999999999999995,0.72,0.021599999999999994,0.032463333333333344,5,Arsenal,Manchester city
