home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,gameweek,home_team,away_team
Aston villa,Nottingham Forest,corners_total,10.5,0.44667,0.55333,2.1609726380698024,1.6884892268358576,10.258663330218855,6.049669385139941,4.208993945078914,9.726315789473684,0.029999999999999995,0.72,0.021599999999999994,0.05332999999999999,20,Aston villa,Nottingham Forest
Brighton & hove albion,Burnley,corners_total,9.5,0.487845,0.512155,1.9785826404834297,1.8195458107590543,9.61272786045282,6.0847015184142705,3.528026342038549,9.726315789473684,0.029999999999999995,0.72,0.021599999999999994,0.012155000000000027,20,Brighton & hove albion,Burnley
Wolverhampton wanderers,West ham united,corners_total,9.5,0.446665,0.553335,2.1609968281522813,1.6884744586638751,9.262943672497084,4.442687305682853,4.820256366814231,9.726315789473684,0.029999999999999995,0.72,0.021599999999999994,0.05333500000000002,20,Wolverhampton wanderers,West ham united
Bournemouth,Arsenal,corners_total,9.5,0.45543333333333336,0.5445666666666666,2.1193917475956345,1.714776103996191,9.34799663878443,4.0929459281937435,5.255050710590687,9.726315789473684,0.029999999999999995,0.72,0.021599999999999994,0.04456666666666664,20,Bournemouth,Arsenal
Leeds United,Manchester united,corners_total,8.5,0.52422,0.47578,1.841291153040019,1.9534957147291672,8.889111913938919,4.3333786142760164,4.5557332996629025,9.726315789473684,0.029999999999999995,0.72,0.021599999999999994,0.02422000000000002,20,Leeds United,Manchester united
Everton,Brentford,corners_total,9.5,0.519,0.481,1.8598104975850456,1.9330738516753594,9.86123681534253,4.97789452953088,4.88334228581165,9.726315789473684,0.029999999999999995,0.72,0.021599999999999994,0.019000000000000017,20,Everton,Brentford
Newcastle,Crystal palace,corners_total,10.5,0.4820566666666667,0.5179433333333333,2.002340627132298,1.7999063131124946,10.562150426256492,6.285842864593139,4.276307561663353,9.726315789473684,0.029999999999999995,0.72,0.021599999999999994,0.01794333333333331,20,Newcastle,Crystal palace
Tottenham,Sunderland,corners_total,10.5,0.446195,0.553805,2.1632731165670585,1.6870874030208522,10.249897333940151,6.301759139738856,3.9481381942012956,9.726315789473684,0.029999999999999995,0.72,0.021599999999999994,0.05380499999999999,20,Tottenham,Sunderland
Fulham,Liverpool,corners_total,9.5,0.49456666666666665,0.5054333333333334,1.9516916794095278,1.8428967806972423,9.653830850793081,4.3851093832797,5.268721467513381,9.726315789473684,0.029999999999999995,0.72,0.021599999999999994,0.0054333333333333456,20,Fulham,Liverpool
Manchester city,Chelsea,corners_total,9.5,0.4411,0.5589,2.188260367822803,1.6721960924024726,9.228017055836238,5.013549956374298,4.21446709946194,9.726315789473684,0.029999999999999995,0.72,0.021599999999999994,0.05890000000000001,20,Manchester city,Chelsea
