home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,gameweek,home_team,away_team
Brighton & hove albion,Everton,corners_total,9.5,0.48357666666666665,0.5164233333333333,1.996046779717739,1.805022425042963,9.572900034750754,5.70492600680128,3.8679740279494736,9.795652173913043,0.029999999999999995,0.72,0.021599999999999994,0.016423333333333345,24,Brighton & hove albion,Everton
Leeds United,Arsenal,corners_total,8.5,0.48943166666666665,0.5105683333333333,1.9721683617664814,1.8250043513479897,8.620480295602716,3.108353635493806,5.51212666010891,9.795652173913043,0.029999999999999995,0.72,0.021599999999999994,0.010568333333333346,24,Leeds United,Arsenal
Wolverhampton wanderers,Bournemouth,corners_total,9.5,0.5473416666666666,0.4526583333333334,1.7635084391162836,2.0493963547526057,10.097473702860057,4.190872052585062,5.906601650274995,9.795652173913043,0.029999999999999995,0.72,0.021599999999999994,0.047341666666666615,24,Wolverhampton wanderers,Bournemouth
Chelsea,West ham united,corners_total,10.5,0.4594083333333333,0.5405916666666667,2.1010538516859842,1.7269714368398226,10.36254435047368,6.654314027945746,3.708230322527935,9.795652173913043,0.029999999999999995,0.72,0.021599999999999994,0.04059166666666669,24,Chelsea,West ham united
Liverpool,Newcastle,corners_total,10.5,0.52785,0.47214999999999996,1.8286286790691266,1.9679533691245086,10.95804561539821,6.458015772901749,4.5000298424964615,9.795652173913043,0.029999999999999995,0.72,0.021599999999999994,0.02785000000000004,24,Liverpool,Newcastle
Aston villa,Brentford,corners_total,10.5,0.4427066666666667,0.5572933333333333,2.1803187548865433,1.676863488339,10.222091935988207,5.915599404976305,4.3064925310119015,9.795652173913043,0.029999999999999995,0.72,0.021599999999999994,0.05729333333333331,24,Aston villa,Brentford
Nottingham Forest,Crystal palace,corners_total,9.5,0.490335,0.509665,1.9685350795815892,1.8281267056407886,9.630747942418056,5.185011986835826,4.44573595558223,9.795652173913043,0.029999999999999995,0.72,0.021599999999999994,0.00966499999999998,24,Nottingham Forest,Crystal palace
Manchester united,Fulham,corners_total,9.5,0.50061,0.49939,1.928130976701701,1.8644088738345845,9.718429108810653,5.159866901546102,4.5585622072645515,9.795652173913043,0.029999999999999995,0.72,0.021599999999999994,0.0006099999999999994,24,Manchester united,Fulham
Tottenham,Manchester city,corners_total,9.5,0.520345,0.47965500000000005,1.8550032156485383,1.938294861644547,9.865897535395463,4.348605392966942,5.517292142428522,9.795652173913043,0.029999999999999995,0.72,0.021599999999999994,0.020344999999999946,24,Tottenham,Manchester city
Sunderland,Burnley,corners_total,8.5,0.5218316666666667,0.4781683333333333,1.8497184243577374,1.9440987053276584,8.870186446903631,4.886336704609859,3.9838497422937715,9.795652173913043,0.029999999999999995,0.72,0.021599999999999994,0.021831666666666694,24,Sunderland,Burnley
