home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,gameweek,home_team,away_team
West ham united,Chelsea,corners_total,9.5,0.452275,0.547725,2.134191914756815,1.7052084204441722,9.316146338583591,3.2989583722383204,6.017187966345271,10.0,0.029999999999999995,0.72,0.021599999999999994,0.04772500000000002,2,West ham united,Chelsea
Manchester city,Tottenham,corners_total,10.5,0.48207,0.51793,2.002285245393073,1.7999510651983779,10.562802493648698,6.632045846879293,3.9307566467694053,10.0,0.029999999999999995,0.72,0.021599999999999994,0.01793,2,Manchester city,Tottenham
Brentford,Aston villa,corners_total,10.5,0.4824733333333333,0.5175266666666667,2.0006113945778807,1.8013058684338357,10.555756494164646,4.43722121000901,6.1185352841556355,10.0,0.029999999999999995,0.72,0.021599999999999994,0.01752666666666669,2,Brentford,Aston villa
Burnley,Sunderland,corners_total,9.5,0.5084783333333334,0.49152166666666663,1.8982945485975575,1.8931815408788413,9.780025299552825,4.970005995604048,4.810019303948778,10.0,0.029999999999999995,0.72,0.021599999999999994,0.008478333333333365,2,Burnley,Sunderland
Bournemouth,Wolverhampton wanderers,corners_total,9.5,0.5543133333333333,0.4456866666666667,1.7413285775433365,2.0801877274789375,10.169562503704583,6.27927383763742,3.8902886660671627,10.0,0.029999999999999995,0.72,0.021599999999999994,0.054313333333333325,2,Bournemouth,Wolverhampton wanderers
Arsenal,Leeds United,corners_total,9.5,0.499365,0.5006349999999999,1.9329381279157303,1.859936145767746,9.70878277501553,6.796147942510871,2.9126348325046596,10.0,0.029999999999999995,0.72,0.021599999999999994,0.0006349999999999967,2,Arsenal,Leeds United
Everton,Brighton & hove albion,corners_total,9.5,0.4668483333333333,0.5331516666666667,2.0675700850311243,1.750269888429846,9.437055155698358,4.026272161480154,5.410782994218204,10.0,0.029999999999999995,0.72,0.021599999999999994,0.03315166666666669,2,Everton,Brighton & hove albion
Crystal palace,Nottingham Forest,corners_total,9.5,0.5398583333333333,0.46014166666666667,1.7879535956901755,2.017343635476689,10.032994116752011,5.571163733903423,4.461830382848588,10.0,0.029999999999999995,0.72,0.021599999999999994,0.03985833333333333,2,Crystal palace,Nottingham Forest
Fulham,Manchester united,corners_total,9.5,0.45383666666666667,0.5461633333333333,2.126848091266253,1.7099258675439228,9.33986843873299,5.054366352306136,4.285502086426854,10.0,0.029999999999999995,0.72,0.021599999999999994,0.046163333333333334,2,Fulham,Manchester united
Newcastle,Liverpool,corners_total,10.5,0.4811533333333333,0.5188466666666667,2.006099888282263,1.7968795331807885,10.55146978721979,4.516695993451429,6.0347737937683625,10.0,0.029999999999999995,0.72,0.021599999999999994,0.018846666666666678,2,Newcastle,Liverpool
