home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,gameweek,home_team,away_team
Tottenham,Manchester united,corners_total,10.5,0.5241133333333333,0.4758866666666667,1.8416658895276568,1.9530740921574232,10.922407212453766,5.887062897006996,5.03534431544677,9.78,0.029999999999999995,0.72,0.021599999999999994,0.02411333333333332,11,Tottenham,Manchester united
Everton,Fulham,corners_total,9.5,0.46561,0.5343899999999999,2.073068981006934,1.746348521761792,9.424435954267315,3.908602992291862,5.515832961975453,9.78,0.029999999999999995,0.72,0.021599999999999994,0.034389999999999976,11,Everton,Fulham
West ham united,Burnley,corners_total,9.5,0.4786,0.5214,2.0168024409666496,1.7883789256039626,9.537263230618862,5.546071658269758,3.9911915723491043,9.78,0.029999999999999995,0.72,0.021599999999999994,0.021399999999999975,11,West ham united,Burnley
Sunderland,Arsenal,corners_total,9.5,0.516625,0.483375,1.8683603159867188,1.9239229543216418,9.844754357758376,2.953426307327513,6.891328050430864,9.78,0.029999999999999995,0.72,0.021599999999999994,0.016625,11,Sunderland,Arsenal
Chelsea,Wolverhampton wanderers,corners_total,9.5,0.49993,0.50007,1.9307536019975569,1.861963275486527,9.714896205718777,6.524650063480053,3.190246142238724,9.78,0.029999999999999995,0.72,0.021599999999999994,7.00000000000145e-05,11,Chelsea,Wolverhampton wanderers
Brentford,Newcastle,corners_total,10.5,0.5277816666666667,0.4722183333333333,1.8288654366167294,1.9676792333846251,10.9536,5.12709530816208,5.82650469183792,9.78,0.029999999999999995,0.72,0.021599999999999994,0.027781666666666704,11,Brentford,Newcastle
Aston villa,Bournemouth,corners_total,10.5,0.45363166666666666,0.5463683333333333,2.1278092319686057,1.709305120465204,10.318037967782411,5.340261029834711,4.9777769379477,9.78,0.029999999999999995,0.72,0.021599999999999994,0.046368333333333345,11,Aston villa,Bournemouth
Crystal palace,Brighton & hove albion,corners_total,8.5,0.5604383333333334,0.43956166666666663,1.7222976924252242,2.1080134173931153,9.182501940337268,4.156824657297089,5.025677283040178,9.78,0.029999999999999995,0.72,0.021599999999999994,0.06043833333333337,11,Crystal palace,Brighton & hove albion
Nottingham Forest,Leeds United,corners_total,8.5,0.5479733333333333,0.4520266666666667,1.7614755856367197,2.052148597091214,9.078729694212184,4.6684796014440115,4.410250092768172,9.78,0.029999999999999995,0.72,0.021599999999999994,0.04797333333333331,11,Nottingham Forest,Leeds United
Manchester city,Liverpool,corners_total,9.5,0.44447333333333333,0.5555266666666667,2.171652551139113,1.6820258560814996,9.25497239309402,4.988760603922973,4.266211789171047,9.78,0.029999999999999995,0.72,0.021599999999999994,0.05552666666666667,11,Manchester city,Liverpool
