home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,gameweek,home_team,away_team
Nottingham Forest,Everton,corners_total,9.5,0.51771,0.48229,1.864444666409068,1.9280926971609398,9.84706686316719,5.324689729713355,4.522377133453834,9.75,0.029999999999999995,0.72,0.021599999999999994,0.017710000000000004,19,Nottingham Forest,Everton
West ham united,Brighton & hove albion,corners_total,9.5,0.48195333333333334,0.5180466666666667,2.0027699395099914,1.799559559885207,9.564337286373624,4.422508125765697,5.1418291606079265,9.75,0.029999999999999995,0.72,0.021599999999999994,0.018046666666666655,19,West ham united,Brighton & hove albion
Burnley,Newcastle,corners_total,10.5,0.52394,0.47606000000000004,1.8422751617487476,1.952389343508626,10.920000000000002,4.36312591359068,6.556874086409322,9.75,0.029999999999999995,0.72,0.021599999999999994,0.02393999999999996,19,Burnley,Newcastle
Chelsea,Bournemouth,corners_total,9.5,0.5208716666666666,0.4791283333333334,1.8531275744440672,1.9403469640032354,9.878709350286524,5.399407519576825,4.479301830709699,9.75,0.029999999999999995,0.72,0.021599999999999994,0.020871666666666622,19,Chelsea,Bournemouth
Arsenal,Aston villa,corners_total,9.5,0.464225,0.535775,2.079253914043058,1.7419834772858471,9.416307592500461,5.881391611758273,3.534915980742188,9.75,0.029999999999999995,0.72,0.021599999999999994,0.035775,19,Arsenal,Aston villa
Manchester united,Wolverhampton wanderers,corners_total,9.5,0.44296,0.55704,2.179071808394976,1.6776018053561488,9.24510341450663,5.727809038446704,3.5172943760599256,9.75,0.029999999999999995,0.72,0.021599999999999994,0.05703999999999998,19,Manchester united,Wolverhampton wanderers
Crystal palace,Fulham,corners_total,9.5,0.445485,0.554515,2.166720873310299,1.6849963798227692,9.267256005080341,4.303021309745667,4.9642346953346745,9.75,0.029999999999999995,0.72,0.021599999999999994,0.05451499999999998,19,Crystal palace,Fulham
Liverpool,Leeds United,corners_total,8.5,0.561835,0.438165,1.7180162294030075,2.1144629786523312,9.201894027189912,5.81240510553525,3.389488921654662,9.75,0.029999999999999995,0.72,0.021599999999999994,0.06183499999999997,19,Liverpool,Leeds United
Sunderland,Manchester city,corners_total,9.5,0.45096833333333336,0.5490316666666666,2.1403756692006577,1.7012812266036805,9.30694839920104,3.267794703040304,6.039153696160737,9.75,0.029999999999999995,0.72,0.021599999999999994,0.04903166666666664,19,Sunderland,Manchester city
Brentford,Tottenham,corners_total,10.5,0.5229983333333333,0.47700166666666666,1.845592206947706,1.9486776886405037,10.920000000000002,5.166899804104439,5.753100195895563,9.75,0.029999999999999995,0.72,0.021599999999999994,0.022998333333333343,19,Brentford,Tottenham
