home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,gameweek,home_team,away_team
Leeds United,Nottingham Forest,corners_total,9.5,0.46787,0.53213,2.0630552252690677,1.7535184307420295,9.441841466220918,4.900330032618524,4.541511433602394,9.841666666666667,0.029999999999999995,0.72,0.021599999999999994,0.03212999999999999,25,Leeds United,Nottingham Forest
Manchester united,Tottenham,corners_total,9.5,0.5535166666666667,0.44648333333333334,1.743834840709353,2.0766223899081573,10.160919509132276,5.064767660710499,5.096151848421776,9.841666666666667,0.029999999999999995,0.72,0.021599999999999994,0.05351666666666666,25,Manchester united,Tottenham
Wolverhampton wanderers,Chelsea,corners_total,9.5,0.4918033333333333,0.5081966666666666,1.9626578000284096,1.8332248324041247,9.64489199795027,3.5898967615208197,6.054995236429449,9.841666666666667,0.029999999999999995,0.72,0.021599999999999994,0.008196666666666685,25,Wolverhampton wanderers,Chelsea
Bournemouth,Aston villa,corners_total,10.5,0.476405,0.523595,2.0260947056530445,1.7811353177536446,10.504628233005612,5.31791706482831,5.186711168177301,9.841666666666667,0.029999999999999995,0.72,0.021599999999999994,0.023594999999999977,25,Bournemouth,Aston villa
Burnley,West ham united,corners_total,9.5,0.4717,0.5283,2.046304109066438,1.7658045773867856,9.47662714023164,4.483380970716225,4.993246169515415,9.841666666666667,0.029999999999999995,0.72,0.021599999999999994,0.028299999999999992,25,Burnley,West ham united
Fulham,Everton,corners_total,9.5,0.4948383333333333,0.5051616666666667,1.9506201990144363,1.8438531544386711,9.671115675297317,5.607030984665122,4.064084690632195,9.841666666666667,0.029999999999999995,0.72,0.021599999999999994,0.0051616666666666755,25,Fulham,Everton
Arsenal,Sunderland,corners_total,9.5,0.461805,0.538195,2.090149843000051,1.734408614561164,9.398687478301046,6.579081234810731,2.819606243490314,9.841666666666667,0.029999999999999995,0.72,0.021599999999999994,0.03819499999999998,25,Arsenal,Sunderland
Newcastle,Brentford,corners_total,10.5,0.5344933333333334,0.4655066666666666,1.8059002574025964,1.9949744131404585,11.022666666666668,6.449962411654128,4.57270425501254,9.841666666666667,0.029999999999999995,0.72,0.021599999999999994,0.034493333333333376,25,Newcastle,Brentford
Brighton & hove albion,Crystal palace,corners_total,9.5,0.447585,0.552415,2.156554952124487,1.6911961586669695,9.284189866439291,5.318839968506829,3.9653498979324624,9.841666666666667,0.029999999999999995,0.72,0.021599999999999994,0.05241499999999999,25,Brighton & hove albion,Crystal palace
Liverpool,Manchester city,corners_total,9.5,0.44581333333333334,0.5541866666666666,2.1651251231755557,1.685962710707607,9.270549677353424,4.721497748262865,4.549051929090559,9.841666666666667,0.029999999999999995,0.72,0.021599999999999994,0.05418666666666666,25,Liverpool,Manchester city
